threads,runs,runs_warmup,latency[ms],latency_std,throughput[op/s],throughput_std
1,1000,100,0.795308,6.312512106730024E11,1257.3737125371774,0.0
2,1000,100,0.649366,4.209015915649935E11,3080.4234388455134,3.8289426087156287E-7
3,1000,100,0.769841,5.915103263739257E11,3897.1582465918777,1.1026528798262962E-7
4,1000,100,0.671291,4.497849834131046E11,5959.3642142132085,2.6252350669673326E-7
5,1000,100,0.79713,6.34413022556879E11,6275.124198960531,6.59135252095957E-7
6,1000,100,0.869826,7.554089104449E11,6900.882903464218,5.670183691107684E-7
7,1000,100,0.878757,7.708213684731353E11,7967.350432690807,2.529348245870554E-7
8,1000,100,1.084582,1.1741024374870679E12,7376.962239429117,9.813528095284319E-8
9,1000,100,1.109681,1.2292785626859622E12,8112.756200825052,2.3609485979626445E-7
10,1000,100,1.141024,1.2996866972277295E12,8766.42745490836,2.0929347673534284E-7
11,1000,100,1.362666,1.8588103579637507E12,8097.041930727549,1.6461609975705628E-6
12,1000,100,1.387171,1.9244264335054766E12,8668.878007268844,1.0972595105446747E-6
13,1000,100,1.529053,2.340358480658249E12,8528.066387389092,1.3404417971726526E-6
14,1000,100,1.610167,2.600061559940298E12,8739.084760091082,2.064966378556128E-6
15,1000,100,1.694786,2.8812339595173486E12,8897.284739056655,1.89083351665922E-6
16,1000,100,1.70033,2.9024537967358325E12,9464.176186234525,1.944969948790045E-6
17,1000,100,1.805047,3.28405857636998E12,9513.78137743613,3.1946118988796946E-6
18,1000,100,1.824351,3.34908088172527E12,9945.605741646335,2.340707493564478E-6
19,1000,100,1.983931,3.957892845962135E12,9650.014329166619,1.9592267705303266E-6
20,1000,100,1.938095,3.8215274592299907E12,10523.981352008175,5.403731760317446E-6
21,1000,100,1.99341,4.006150203829545E12,10637.890580865265,2.3749297853510154E-6
22,1000,100,2.183047,4.844060403490396E12,10277.471253631607,4.480299191685702E-6
23,1000,100,2.168542,4.753726518804539E12,10743.916822031926,2.7877239358582664E-6
24,1000,100,2.302886,5.328174679621819E12,10488.800345034768,1.17003424020334E-6
25,1000,100,2.344265,5.594351031317055E12,10874.636989711558,3.545923491351465E-6
26,1000,100,2.484032,6.257229451729602E12,10634.834774343708,2.5997482114238756E-6
27,1000,100,2.442067,6.090069895477076E12,11328.241411371997,4.3830154983777E-6
28,1000,100,2.656447,3.865084118655043E12,10714.495244491252,2.3434026655631953E-6
29,1000,100,2.995426,5.1417714533143545E12,9685.508833912814,4.815777142391971E-8
30,1000,100,3.060786,-4.175839986620754E12,9803.603474974485,2.4193520751242495E-8
31,1000,100,3.158081,-7.300552024086719E12,9818.631758286352,2.6483436565382392E-8
32,1000,100,3.263598,-7.814691389215001E12,9807.242465292178,2.049489085477542E-8
